producto,categoria,proveedor,cantidad,precio_unitario,descuento,impuesto,fecha,canal_venta,pais,moneda
Gafas Sol,Video,ElectroMax,3,763.25,50.83,160.28,2024-08-06,Tienda,Portugal,EUR
Auriculares Bluetooth,Moda,GlobalTech,5,863.02,73.5,181.23,2024-06-27,Tienda,Alemania,EUR
Cargador USB-C,Accesorios,LogiTech,2,1401.98,147.62,294.42,2024-09-08,Distribuidor,España,EUR
Cámara HD,Oficina,ElectroMax,2,318.58,34.1,66.9,2024-06-28,Online,España,EUR
Ventilador Turbo,Oficina,HomePlus,1,562.37,31.01,118.1,2024-08-28,Online,Portugal,EUR
TV 55,Video,LogiTech,4,439.36,49.78,92.27,2024-03-14,Distribuidor,Alemania,EUR
TV 55,Moda,MegaStore,4,474.54,49.58,99.65,2024-05-24,Tienda,España,EUR
Mouse Gamer,Video,SportWorld,3,1423.28,96.82,298.89,2024-11-29,Distribuidor,Italia,EUR
Gafas Sol,Accesorios,ElectroMax,5,205.76,29.97,43.21,2024-01-05,Online,España,EUR
Smartphone Mini,Moda,SportWorld,4,1042.46,49.87,218.92,2024-06-12,Tienda,Portugal,EUR
Monitor 27,Moda,Distribuciones Europa,1,127.5,3.68,26.77,2024-09-06,Distribuidor,Italia,EUR
Colchoneta Yoga,Accesorios,ProGear,2,1220.34,152.52,256.27,2024-08-25,Distribuidor,España,EUR
Refrigerador Mini,Accesorios,ProGear,3,2214.74,198.99,465.1,2024-11-24,Distribuidor,Alemania,EUR
Pelota Fitness,Hogar,FashionCorp,2,1038.76,122.16,218.14,2024-03-15,Distribuidor,Italia,EUR
HDD 2TB,Oficina,LogiTech,4,548.96,59.81,115.28,2024-05-20,Distribuidor,Alemania,EUR
Aspiradora Robot,Audio,HomePlus,3,572.92,65.5,120.31,2024-10-28,Online,Portugal,EUR
SSD 1TB,Accesorios,FashionCorp,4,73.01,7.21,15.33,2024-03-26,Distribuidor,Italia,EUR
Plancha Vapor,Video,MegaStore,1,1856.54,58.09,389.87,2024-01-01,Online,Alemania,EUR
Monitor 32,Electrónica,TechCorp,3,876.76,118.65,184.12,2024-08-20,Online,Portugal,EUR
Pantalón Trekking,Accesorios,FashionCorp,4,685.43,19.31,143.94,2024-05-22,Online,Alemania,EUR
Cafetera Automática,Oficina,GlobalTech,1,406.83,32.47,85.43,2024-05-01,Tienda,Francia,EUR
Smartwatch,Deportes,TechCorp,1,567.6,13.87,119.2,2024-03-20,Tienda,Francia,EUR
PowerBank 20k,Accesorios,LogiTech,4,120.07,15.24,25.21,2024-03-30,Online,España,EUR
Reloj Deportivo,Deportes,GlobalTech,4,455.41,49.81,95.64,2024-10-12,Tienda,Francia,EUR
Lámpara LED,Audio,SportWorld,5,1482.56,166.45,311.34,2024-05-02,Tienda,Portugal,EUR
Webcam FullHD,Electrónica,ElectroMax,2,2149.47,160.07,451.39,2024-11-19,Distribuidor,Italia,EUR
Colchoneta Yoga,Oficina,LogiTech,2,165.94,2.3,34.85,2024-11-29,Tienda,Alemania,EUR
HDD 2TB,Audio,ElectroMax,5,1229.42,183.6,258.18,2024-05-27,Distribuidor,Portugal,EUR
TV 65,Accesorios,LogiTech,3,954.62,51.23,200.47,2024-02-08,Tienda,España,EUR
Pelota Fitness,Video,TechCorp,4,1120.86,69.06,235.38,2024-04-24,Online,Alemania,EUR
Microfono Pro,Hogar,Distribuciones Europa,3,1969.8,243.15,413.66,2024-11-12,Tienda,Portugal,EUR
Casco Bicicleta,Moda,SportWorld,5,1529.31,2.78,321.16,2024-01-06,Distribuidor,Portugal,EUR
Escritorio Oficina,Oficina,MegaStore,4,607.41,51.08,127.56,2024-07-12,Online,Italia,EUR
Proyector HD,Oficina,GlobalTech,2,598.94,87.14,125.78,2024-07-14,Distribuidor,Italia,EUR
Chaqueta Invierno,Video,ProGear,2,1296.44,125.76,272.25,2024-01-15,Tienda,Francia,EUR
Impresora Laser,Oficina,SportWorld,3,1329.08,21.21,279.11,2024-09-27,Tienda,Italia,EUR
Smartwatch,Video,HomePlus,2,49.44,2.12,10.38,2024-09-28,Online,Italia,EUR
Colchoneta Yoga,Electrónica,SportWorld,2,1091.87,41.89,229.29,2024-03-19,Distribuidor,Portugal,EUR
Cafetera Automática,Audio,FashionCorp,3,1920.69,265.67,403.34,2024-01-30,Distribuidor,Francia,EUR
Refrigerador Mini,Accesorios,HomePlus,2,384.34,5.95,80.71,2024-02-17,Tienda,Italia,EUR
Smartphone X,Electrónica,HomePlus,2,1307.3,129.64,274.53,2024-11-25,Tienda,Francia,EUR
Zapatillas Running,Moda,ElectroMax,2,754.2,24.02,158.38,2024-07-04,Tienda,Francia,EUR
Mochila Travel,Audio,ProGear,2,209.24,2.6,43.94,2024-05-01,Distribuidor,Francia,EUR
Guantes Gym,Video,LogiTech,5,1567.57,188.99,329.19,2024-12-08,Online,Francia,EUR
Cafetera Automática,Moda,HomePlus,2,1080.56,136.95,226.92,2024-08-08,Distribuidor,Alemania,EUR
Tostadora,Oficina,TechCorp,1,470.99,53.23,98.91,2024-04-08,Distribuidor,España,EUR
Pantalón Trekking,Audio,SportWorld,3,661.59,83.29,138.93,2024-08-29,Online,Italia,EUR
Altavoz Bluetooth,Hogar,GlobalTech,1,119.64,12.17,25.12,2024-12-15,Online,Italia,EUR
Pelota Fitness,Electrónica,HomePlus,4,1018.3,5.44,213.84,2024-07-12,Tienda,Francia,EUR
Smartphone X,Audio,MegaStore,2,490.35,39.71,102.97,2024-09-20,Online,Italia,EUR
Drone Mini,Oficina,GlobalTech,3,1627.98,133.18,341.88,2024-11-02,Tienda,Italia,EUR
Monitor 32,Accesorios,FashionCorp,5,243.6,20.86,51.16,2024-11-30,Tienda,España,EUR
PowerBank 20k,Electrónica,GlobalTech,5,1142.77,44.08,239.98,2024-07-03,Tienda,Alemania,EUR
Chaqueta Invierno,Moda,ProGear,4,27.85,2.94,5.85,2024-08-08,Distribuidor,Portugal,EUR
Monitor 27,Accesorios,SportWorld,3,570.43,27.69,119.79,2024-05-03,Distribuidor,Italia,EUR
Microfono Pro,Deportes,ProGear,4,1259.02,151.37,264.39,2024-05-02,Tienda,Alemania,EUR
Ventilador Turbo,Electrónica,FashionCorp,3,614.91,67.91,129.13,2024-12-18,Tienda,Italia,EUR
Tablet Plus,Video,GlobalTech,3,1064.17,26.22,223.48,2024-10-20,Distribuidor,Alemania,EUR
Colchoneta Yoga,Moda,HomePlus,3,956.29,1.63,200.82,2024-10-08,Tienda,Francia,EUR
Monitor 27,Oficina,Distribuciones Europa,4,381.8,17.64,80.18,2024-11-03,Online,Portugal,EUR
Smartwatch,Moda,SportWorld,4,287.3,41.79,60.33,2024-06-22,Tienda,Francia,EUR
Drone Mini,Electrónica,ElectroMax,5,533.96,66.14,112.13,2024-01-05,Distribuidor,Italia,EUR
Reloj Deportivo,Oficina,LogiTech,1,1161.37,8.58,243.89,2024-05-10,Online,Alemania,EUR
Set Mancuernas,Video,GlobalTech,4,693.97,24.35,145.73,2024-08-06,Distribuidor,España,EUR
Auriculares Bluetooth,Accesorios,ElectroMax,5,1708.81,60.02,358.85,2024-12-13,Tienda,Francia,EUR
Lámpara LED,Oficina,LogiTech,2,367.08,39.59,77.09,2024-07-08,Distribuidor,Francia,EUR
Laptop Pro,Electrónica,HomePlus,1,575.42,3.56,120.84,2024-06-22,Distribuidor,Portugal,EUR
Drone Mini,Accesorios,Distribuciones Europa,1,667.92,7.32,140.26,2024-04-13,Distribuidor,Italia,EUR
Monitor 32,Electrónica,FashionCorp,3,612.31,58.43,128.59,2024-05-28,Online,Italia,EUR
Tostadora,Electrónica,TechCorp,5,1490.54,148.85,313.01,2024-12-19,Distribuidor,España,EUR
Smartphone X,Video,FashionCorp,5,247.99,9.5,52.08,2024-05-15,Distribuidor,Portugal,EUR
Monitor 32,Video,TechCorp,5,1447.61,113.7,304.0,2024-11-25,Online,España,EUR
Microfono Pro,Deportes,GlobalTech,5,1166.96,115.07,245.06,2024-02-10,Online,España,EUR
Proyector HD,Electrónica,ElectroMax,4,1007.23,64.85,211.52,2024-12-15,Distribuidor,Italia,EUR
Escritorio Oficina,Audio,SportWorld,5,358.46,45.08,75.28,2024-04-11,Tienda,Francia,EUR
Colchoneta Yoga,Accesorios,FashionCorp,3,454.07,18.58,95.35,2024-06-18,Online,Portugal,EUR
Tablet Plus,Oficina,ElectroMax,2,848.1,9.41,178.1,2024-06-07,Tienda,Portugal,EUR
Altavoz Bluetooth,Accesorios,ElectroMax,3,1807.73,269.15,379.62,2024-01-04,Distribuidor,Portugal,EUR
SSD 1TB,Electrónica,GlobalTech,5,1955.9,134.98,410.74,2024-12-27,Tienda,España,EUR
TV 65,Video,GlobalTech,5,770.85,104.64,161.88,2024-10-02,Online,Italia,EUR
Guantes Gym,Electrónica,LogiTech,5,213.71,9.24,44.88,2024-01-15,Online,Alemania,EUR
Microfono Pro,Deportes,GlobalTech,5,777.38,5.61,163.25,2024-09-01,Online,Alemania,EUR
Smartphone Mini,Hogar,HomePlus,5,936.66,98.28,196.7,2024-12-19,Tienda,Portugal,EUR
Mouse Gamer,Electrónica,HomePlus,4,1016.85,39.36,213.54,2024-06-19,Online,Italia,EUR
Smartphone Mini,Hogar,TechCorp,2,410.59,27.9,86.22,2024-06-26,Tienda,Alemania,EUR
TV 55,Deportes,Distribuciones Europa,2,1297.35,184.91,272.44,2024-05-11,Online,Italia,EUR
Silla Gamer,Audio,TechCorp,4,1930.64,203.94,405.43,2024-12-17,Distribuidor,España,EUR
Batidora Pro,Accesorios,Distribuciones Europa,2,463.2,7.75,97.27,2024-02-04,Online,Portugal,EUR
Casco Bicicleta,Accesorios,GlobalTech,1,693.83,53.35,145.7,2024-09-18,Distribuidor,Francia,EUR
Pelota Fitness,Video,ProGear,5,2229.74,330.19,468.25,2024-11-21,Online,Alemania,EUR
Cargador USB-C,Hogar,LogiTech,2,470.63,24.54,98.83,2024-01-06,Online,España,EUR
Zapatillas Running,Oficina,GlobalTech,2,942.92,97.86,198.01,2024-06-05,Tienda,España,EUR
Teclado Mecánico,Hogar,LogiTech,1,753.25,81.52,158.18,2024-05-15,Tienda,Alemania,EUR
Mouse Gamer,Deportes,FashionCorp,1,269.36,7.17,56.57,2024-08-27,Online,España,EUR
Mochila Travel,Video,HomePlus,2,1846.12,249.57,387.69,2024-01-06,Distribuidor,España,EUR
SSD 1TB,Video,HomePlus,5,80.53,10.17,16.91,2024-04-12,Distribuidor,Portugal,EUR
Tostadora,Accesorios,Distribuciones Europa,5,628.85,47.81,132.06,2024-02-16,Distribuidor,Francia,EUR
Plancha Vapor,Hogar,FashionCorp,1,869.86,98.77,182.67,2024-07-22,Distribuidor,Portugal,EUR
Barra de Sonido,Accesorios,SportWorld,3,684.05,38.87,143.65,2024-03-28,Online,España,EUR
Monitor 32,Deportes,LogiTech,2,1135.2,143.74,238.39,2024-04-27,Distribuidor,Francia,EUR
Smartphone Mini,Deportes,ProGear,2,434.58,32.88,91.26,2024-03-19,Tienda,Francia,EUR
Aspiradora Robot,Hogar,SportWorld,4,933.99,114.45,196.14,2024-02-27,Distribuidor,Portugal,EUR
Plancha Vapor,Hogar,MegaStore,3,565.97,63.2,118.85,2024-02-29,Tienda,Italia,EUR
Smartwatch,Oficina,ProGear,5,262.89,4.84,55.21,2024-03-08,Tienda,Portugal,EUR
Mouse Gamer,Video,FashionCorp,4,831.61,23.59,174.64,2024-06-19,Online,Alemania,EUR
Aspiradora Robot,Oficina,ElectroMax,3,1292.21,147.71,271.36,2024-09-18,Tienda,Alemania,EUR
Silla Gamer,Accesorios,LogiTech,3,850.1,101.81,178.52,2024-05-08,Distribuidor,Alemania,EUR
Cargador USB-C,Audio,GlobalTech,3,1071.71,54.17,225.06,2024-02-23,Distribuidor,Italia,EUR
Zapatillas Running,Deportes,ElectroMax,4,1023.91,128.66,215.02,2024-08-19,Tienda,Portugal,EUR
Monitor 27,Accesorios,ElectroMax,2,1480.25,138.29,310.85,2024-01-13,Tienda,Portugal,EUR
Auriculares Bluetooth,Deportes,LogiTech,1,865.8,73.01,181.82,2024-05-18,Online,España,EUR
Router WiFi,Oficina,LogiTech,4,1002.13,113.68,210.45,2024-08-05,Online,España,EUR
Cámara HD,Audio,HomePlus,3,1390.09,175.88,291.92,2024-09-02,Online,España,EUR
HDD 2TB,Deportes,Distribuciones Europa,1,590.55,29.27,124.02,2024-10-25,Online,Portugal,EUR
Microfono Pro,Deportes,Distribuciones Europa,5,33.46,3.58,7.03,2024-08-30,Online,España,EUR
Drone Mini,Accesorios,TechCorp,5,535.52,6.53,112.46,2024-08-08,Online,Francia,EUR
Cafetera Automática,Oficina,GlobalTech,1,743.47,2.6,156.13,2024-06-07,Tienda,Alemania,EUR
Cargador USB-C,Hogar,MegaStore,3,882.41,44.25,185.31,2024-09-16,Online,Portugal,EUR
Auriculares Bluetooth,Hogar,HomePlus,1,308.28,1.32,64.74,2024-08-14,Distribuidor,Portugal,EUR
Memoria RAM 16GB,Accesorios,HomePlus,2,1325.62,160.42,278.38,2024-05-04,Tienda,España,EUR
Mochila Travel,Moda,HomePlus,2,628.88,90.38,132.06,2024-12-22,Online,Francia,EUR
Smartwatch,Video,Distribuciones Europa,1,474.95,63.96,99.74,2024-06-07,Distribuidor,España,EUR
Escritorio Oficina,Deportes,GlobalTech,3,1612.08,192.27,338.54,2024-03-30,Tienda,Francia,EUR
Altavoz Bluetooth,Moda,FashionCorp,2,1358.31,53.68,285.25,2024-09-01,Distribuidor,Francia,EUR
Smartwatch,Moda,HomePlus,5,51.03,3.11,10.72,2024-11-23,Tienda,Italia,EUR
Webcam FullHD,Video,SportWorld,4,480.17,37.01,100.84,2024-08-25,Online,Portugal,EUR
Zapatillas Running,Audio,ProGear,4,754.76,13.22,158.5,2024-05-01,Distribuidor,Alemania,EUR
Altavoz Bluetooth,Video,MegaStore,3,164.0,16.33,34.44,2024-02-18,Distribuidor,Alemania,EUR
Webcam FullHD,Moda,FashionCorp,3,97.08,4.68,20.39,2024-04-22,Online,Portugal,EUR
Refrigerador Mini,Audio,Distribuciones Europa,2,1430.42,23.0,300.39,2024-12-27,Distribuidor,Portugal,EUR
Silla Gamer,Audio,HomePlus,4,219.36,19.55,46.07,2024-06-05,Distribuidor,Alemania,EUR
Colchoneta Yoga,Accesorios,GlobalTech,5,1072.89,90.73,225.31,2024-12-20,Online,Portugal,EUR
Pelota Fitness,Video,GlobalTech,3,911.25,105.8,191.36,2024-03-15,Distribuidor,Francia,EUR
Monitor 32,Deportes,FashionCorp,1,576.38,77.84,121.04,2024-06-10,Distribuidor,Alemania,EUR
Silla Gamer,Oficina,TechCorp,1,973.51,122.13,204.44,2024-04-21,Distribuidor,Italia,EUR
Webcam FullHD,Hogar,LogiTech,3,1354.0,107.31,284.34,2024-09-10,Distribuidor,Italia,EUR
Monitor 32,Moda,HomePlus,3,599.05,6.99,125.8,2024-04-17,Distribuidor,Italia,EUR
Monitor 32,Electrónica,LogiTech,3,813.89,110.69,170.92,2024-06-15,Tienda,Portugal,EUR
Refrigerador Mini,Oficina,TechCorp,1,1196.51,174.04,251.27,2024-10-29,Online,España,EUR
Aspiradora Robot,Hogar,GlobalTech,3,384.41,2.83,80.73,2024-10-04,Online,Francia,EUR
HDD 2TB,Moda,LogiTech,2,688.56,54.15,144.6,2024-02-13,Tienda,Francia,EUR
Ventilador Turbo,Electrónica,LogiTech,4,1380.22,54.53,289.85,2024-01-15,Distribuidor,Portugal,EUR
Altavoz Bluetooth,Electrónica,ProGear,3,1311.12,185.78,275.34,2024-01-21,Distribuidor,Francia,EUR
Teclado Mecánico,Oficina,GlobalTech,4,40.22,5.4,8.45,2024-06-08,Online,Francia,EUR
Smartwatch,Electrónica,LogiTech,3,1326.81,22.17,278.63,2024-10-07,Tienda,Francia,EUR
Router WiFi,Moda,GlobalTech,3,1568.63,204.93,329.41,2024-03-29,Tienda,Italia,EUR
Router WiFi,Electrónica,GlobalTech,3,1580.56,195.79,331.92,2024-03-05,Distribuidor,Alemania,EUR
Ventilador Turbo,Deportes,Distribuciones Europa,2,933.5,90.86,196.03,2024-03-29,Online,Portugal,EUR
Webcam FullHD,Electrónica,ProGear,5,1367.5,113.99,287.18,2024-09-04,Distribuidor,España,EUR
Impresora Laser,Moda,GlobalTech,4,1596.96,110.48,335.36,2024-04-12,Distribuidor,España,EUR
Mochila Travel,Electrónica,GlobalTech,1,583.1,5.16,122.45,2024-07-18,Tienda,España,EUR
Altavoz Bluetooth,Video,GlobalTech,2,890.67,15.37,187.04,2024-10-16,Online,Portugal,EUR
Altavoz Bluetooth,Moda,ElectroMax,4,946.87,102.22,198.84,2024-10-09,Online,Alemania,EUR
Router WiFi,Deportes,LogiTech,4,1300.32,178.99,273.07,2024-05-30,Online,Alemania,EUR
HDD 2TB,Hogar,ElectroMax,5,974.6,22.84,204.67,2024-11-02,Online,Italia,EUR
Casco Bicicleta,Video,Distribuciones Europa,2,292.68,29.09,61.46,2024-12-15,Tienda,Italia,EUR
Colchoneta Yoga,Oficina,HomePlus,5,304.3,32.14,63.9,2024-12-24,Tienda,España,EUR
Batidora Pro,Video,Distribuciones Europa,5,856.26,21.09,179.81,2024-11-26,Distribuidor,Francia,EUR
Tostadora,Oficina,HomePlus,4,1073.18,144.02,225.37,2024-07-26,Distribuidor,España,EUR
Microfono Pro,Oficina,MegaStore,5,752.93,112.56,158.12,2024-07-25,Online,Alemania,EUR
Memoria RAM 16GB,Video,GlobalTech,1,852.09,60.74,178.94,2024-03-17,Distribuidor,España,EUR
Monitor 32,Hogar,FashionCorp,2,355.1,4.11,74.57,2024-06-09,Distribuidor,Italia,EUR
Gafas Sol,Deportes,MegaStore,5,572.25,29.34,120.17,2024-03-02,Tienda,España,EUR
Memoria RAM 16GB,Audio,TechCorp,3,392.76,2.11,82.48,2024-07-27,Online,Alemania,EUR
Casco Bicicleta,Oficina,ProGear,3,61.19,2.63,12.85,2024-01-04,Online,Alemania,EUR
Reloj Deportivo,Audio,TechCorp,1,921.65,85.72,193.55,2024-03-24,Distribuidor,Italia,EUR
Router WiFi,Accesorios,LogiTech,2,180.59,25.59,37.92,2024-04-08,Online,Portugal,EUR
Smartphone Mini,Hogar,SportWorld,3,1099.73,14.14,230.94,2024-05-14,Online,Alemania,EUR
TV 65,Deportes,SportWorld,1,651.55,65.58,136.83,2024-12-21,Online,Alemania,EUR
PowerBank 20k,Audio,ProGear,2,828.61,69.04,174.01,2024-04-20,Online,Alemania,EUR
Monitor 32,Accesorios,HomePlus,2,1150.91,130.82,241.69,2024-05-25,Distribuidor,Italia,EUR
Set Mancuernas,Electrónica,LogiTech,2,765.71,14.49,160.8,2024-03-10,Online,España,EUR
Cafetera Automática,Video,FashionCorp,5,47.3,1.08,9.93,2024-05-27,Online,Francia,EUR
PowerBank 20k,Electrónica,Distribuciones Europa,3,47.7,1.25,10.02,2024-08-02,Distribuidor,Francia,EUR
Webcam FullHD,Hogar,HomePlus,1,1242.96,145.69,261.02,2024-11-18,Distribuidor,Italia,EUR
Casco Bicicleta,Moda,LogiTech,2,543.73,80.22,114.18,2024-04-29,Tienda,Italia,EUR
Cafetera Automática,Oficina,HomePlus,2,822.88,112.07,172.8,2024-06-09,Online,Portugal,EUR
Smartphone X,Accesorios,ElectroMax,4,1058.16,113.03,222.21,2024-08-27,Tienda,Francia,EUR
Gafas Sol,Oficina,Distribuciones Europa,5,1872.83,39.22,393.29,2024-01-28,Tienda,Francia,EUR
Tablet Plus,Hogar,Distribuciones Europa,4,1320.81,33.72,277.37,2024-09-13,Tienda,Italia,EUR
Silla Gamer,Deportes,MegaStore,1,957.81,4.2,201.14,2024-09-17,Tienda,Francia,EUR
Auriculares Bluetooth,Deportes,HomePlus,4,51.44,4.49,10.8,2024-12-10,Tienda,Alemania,EUR
Pantalón Trekking,Audio,MegaStore,2,102.51,9.64,21.53,2024-09-05,Tienda,Alemania,EUR
Smartwatch,Audio,FashionCorp,2,199.72,8.51,41.94,2024-08-18,Distribuidor,España,EUR
Guantes Gym,Moda,HomePlus,4,808.68,110.86,169.82,2024-07-04,Online,España,EUR
Cargador USB-C,Hogar,Distribuciones Europa,5,51.06,4.52,10.72,2024-11-27,Distribuidor,Italia,EUR
Smartphone X,Video,TechCorp,3,1139.8,96.94,239.36,2024-08-20,Online,Italia,EUR
Auriculares Bluetooth,Hogar,GlobalTech,2,132.14,16.64,27.75,2024-05-12,Tienda,Francia,EUR
Smartwatch,Audio,TechCorp,4,1229.39,165.75,258.17,2024-06-13,Tienda,Alemania,EUR
Altavoz Bluetooth,Moda,Distribuciones Europa,2,473.72,68.56,99.48,2024-07-28,Tienda,Francia,EUR
Drone Mini,Audio,MegaStore,3,67.25,7.44,14.12,2024-07-08,Distribuidor,Francia,EUR
Plancha Vapor,Oficina,FashionCorp,4,688.33,79.56,144.55,2024-04-18,Tienda,Alemania,EUR
Smartphone Mini,Electrónica,Distribuciones Europa,2,860.22,113.39,180.65,2024-08-11,Distribuidor,Alemania,EUR
Aspiradora Robot,Audio,TechCorp,4,1370.1,146.88,287.72,2024-09-16,Distribuidor,Alemania,EUR
Gafas Sol,Hogar,TechCorp,5,447.25,38.1,93.92,2024-01-02,Tienda,Portugal,EUR
Pantalón Trekking,Oficina,MegaStore,1,659.62,3.29,138.52,2024-11-03,Tienda,Italia,EUR
Drone Mini,Electrónica,LogiTech,1,1245.61,107.87,261.58,2024-02-21,Tienda,Portugal,EUR
Plancha Vapor,Video,FashionCorp,1,105.04,3.43,22.06,2024-12-11,Online,Francia,EUR
Smartphone X,Electrónica,ElectroMax,1,358.72,7.71,75.33,2024-05-18,Online,Italia,EUR
TV 65,Oficina,Distribuciones Europa,4,194.36,2.8,40.82,2024-04-30,Online,Alemania,EUR
Silla Gamer,Oficina,ProGear,2,779.74,56.44,163.75,2024-01-04,Online,Portugal,EUR
Set Mancuernas,Deportes,SportWorld,4,66.01,7.54,13.86,2024-10-09,Distribuidor,España,EUR
Colchoneta Yoga,Electrónica,SportWorld,4,759.02,19.5,159.39,2024-07-20,Distribuidor,Alemania,EUR
Guantes Gym,Electrónica,HomePlus,2,1069.85,48.03,224.67,2024-01-30,Online,España,EUR
Pantalón Trekking,Moda,ProGear,5,1149.78,26.03,241.45,2024-03-26,Online,España,EUR
Gafas Sol,Hogar,Distribuciones Europa,4,207.39,0.56,43.55,2024-06-06,Online,Alemania,EUR
Cafetera Automática,Audio,HomePlus,2,269.69,9.8,56.63,2024-07-19,Distribuidor,Portugal,EUR
Proyector HD,Oficina,GlobalTech,5,130.3,10.88,27.36,2024-04-28,Online,Italia,EUR
Zapatillas Running,Hogar,ElectroMax,3,1062.53,8.0,223.13,2024-05-01,Online,Francia,EUR
TV 65,Accesorios,ProGear,2,1168.09,41.92,245.3,2024-02-24,Tienda,España,EUR
Plancha Vapor,Accesorios,SportWorld,5,1117.16,85.51,234.6,2024-09-14,Online,Italia,EUR
Mouse Gamer,Accesorios,HomePlus,5,1098.52,88.35,230.69,2024-06-25,Tienda,Portugal,EUR
SSD 1TB,Moda,FashionCorp,1,16.13,2.15,3.39,2024-12-24,Distribuidor,España,EUR
Mochila Travel,Electrónica,ElectroMax,5,212.41,12.9,44.61,2024-01-29,Online,Francia,EUR
Cámara HD,Accesorios,ElectroMax,4,401.38,18.9,84.29,2024-08-30,Online,Alemania,EUR
TV 55,Oficina,SportWorld,3,998.63,76.41,209.71,2024-09-09,Distribuidor,Italia,EUR
Proyector HD,Accesorios,Distribuciones Europa,2,487.19,29.31,102.31,2024-08-23,Online,Alemania,EUR
Smartwatch,Oficina,LogiTech,4,569.78,49.42,119.65,2024-05-04,Online,España,EUR
PowerBank 20k,Accesorios,GlobalTech,3,1531.88,85.68,321.69,2024-03-11,Online,España,EUR
Mochila Travel,Electrónica,ProGear,5,378.21,38.29,79.42,2024-10-11,Distribuidor,Italia,EUR
Smartphone X,Moda,MegaStore,2,457.62,51.67,96.1,2024-05-18,Distribuidor,Alemania,EUR
Drone Mini,Accesorios,Distribuciones Europa,4,330.87,9.75,69.48,2024-03-24,Online,España,EUR
Smartphone Mini,Video,FashionCorp,5,1169.64,145.29,245.62,2024-04-11,Online,Francia,EUR
Monitor 32,Moda,ProGear,3,1101.41,150.97,231.3,2024-04-20,Tienda,España,EUR
Batidora Pro,Hogar,MegaStore,5,1043.34,119.75,219.1,2024-06-17,Tienda,Francia,EUR
PowerBank 20k,Hogar,ProGear,5,387.9,21.17,81.46,2024-04-03,Distribuidor,España,EUR
Altavoz Bluetooth,Deportes,ElectroMax,2,1812.86,224.71,380.7,2024-11-05,Tienda,Alemania,EUR
Cafetera Automática,Moda,MegaStore,2,437.81,41.31,91.94,2024-08-17,Tienda,Francia,EUR
Monitor 32,Oficina,FashionCorp,3,1280.03,7.62,268.81,2024-12-18,Online,Italia,EUR
Gafas Sol,Hogar,HomePlus,3,1129.19,88.62,237.13,2024-05-06,Online,Francia,EUR
Laptop Pro,Accesorios,LogiTech,1,229.43,11.75,48.18,2024-07-30,Distribuidor,Portugal,EUR
Webcam FullHD,Moda,TechCorp,2,146.03,4.67,30.67,2024-05-30,Online,Francia,EUR
Batidora Pro,Video,FashionCorp,5,628.61,38.25,132.01,2024-06-28,Distribuidor,Alemania,EUR
Gafas Sol,Audio,HomePlus,5,1065.8,13.61,223.82,2024-10-19,Online,Alemania,EUR
Laptop Pro,Oficina,MegaStore,5,935.49,43.93,196.45,2024-05-01,Distribuidor,Alemania,EUR
PowerBank 20k,Audio,ProGear,3,1901.77,33.27,399.37,2024-12-18,Tienda,España,EUR
Aspiradora Robot,Electrónica,FashionCorp,3,482.27,49.74,101.28,2024-07-16,Tienda,Francia,EUR
Refrigerador Mini,Accesorios,ProGear,1,1005.9,107.29,211.24,2024-11-18,Online,Alemania,EUR
Lámpara LED,Deportes,TechCorp,5,1794.65,122.76,376.88,2024-01-10,Online,España,EUR
Chaqueta Invierno,Audio,ProGear,2,525.48,13.43,110.35,2024-11-28,Distribuidor,España,EUR
Barra de Sonido,Oficina,HomePlus,2,1091.59,142.27,229.23,2024-08-28,Online,Portugal,EUR
HDD 2TB,Electrónica,GlobalTech,5,1253.42,160.86,263.22,2024-12-04,Tienda,España,EUR
Aspiradora Robot,Hogar,ProGear,3,799.4,3.26,167.87,2024-01-11,Distribuidor,Francia,EUR
Monitor 27,Video,MegaStore,5,320.36,38.8,67.28,2024-07-09,Online,Francia,EUR
Cargador USB-C,Hogar,TechCorp,2,952.1,111.95,199.94,2024-09-16,Tienda,Alemania,EUR
Casco Bicicleta,Accesorios,MegaStore,2,145.74,6.05,30.61,2024-03-10,Tienda,Francia,EUR
Batidora Pro,Deportes,SportWorld,3,983.0,134.22,206.43,2024-01-02,Online,Francia,EUR
Altavoz Bluetooth,Accesorios,Distribuciones Europa,5,1273.07,74.26,267.34,2024-08-31,Distribuidor,España,EUR
TV 65,Deportes,LogiTech,5,1120.34,145.87,235.27,2024-09-25,Tienda,Italia,EUR
Reloj Deportivo,Hogar,GlobalTech,2,1394.78,22.32,292.9,2024-10-22,Tienda,Alemania,EUR
Plancha Vapor,Video,SportWorld,4,573.05,81.74,120.34,2024-01-13,Tienda,España,EUR
Memoria RAM 16GB,Accesorios,LogiTech,3,1060.61,20.58,222.73,2024-12-07,Distribuidor,Portugal,EUR
Smartphone X,Hogar,Distribuciones Europa,2,568.8,5.85,119.45,2024-11-08,Tienda,Francia,EUR
Batidora Pro,Accesorios,GlobalTech,1,528.54,63.09,110.99,2024-01-14,Online,Portugal,EUR
Pantalón Trekking,Electrónica,LogiTech,5,1503.53,134.27,315.74,2024-11-27,Tienda,Alemania,EUR
Set Mancuernas,Electrónica,HomePlus,5,310.44,3.61,65.19,2024-07-14,Tienda,Alemania,EUR
